"Label_from_Core","Batch_Date","MouseID","Treatment","Timepoint","Tissue","Group","Keep_vs_Remove_forAnalysis","Batch"
"110_RNA-m110_ROF_24H_PLASMA_CTCAGA_S44_L004","Mar_10_2021","M110","RedOakFlame","24h","Plasma","RedOakFlame_24h_Plasma","Keep",0
"115_RNA-m115_PF_24H_PLASMA_TCATTC_S49_L004","Mar_10_2021","M115","PeatFlame","24h","Plasma","PeatFlame_24h_Plasma","Keep",0
"113_RNA-m113_PF_24H_PLASMA_TACAGC_S47_L004","Mar_10_2021","M113","PeatFlame","24h","Plasma","PeatFlame_24h_Plasma","Keep",0
"81_RNA-m81_PS_24H_PLASMA_GGTAGC_S57_L004","Mar_10_2021","M81","PeatSmolder","24h","Plasma","PeatSmolder_24h_Plasma","Keep",0
"106_RNA-m106_Sal_24H_PLASMA_CCAACA_S40_L004","Mar_10_2021","M106","Saline","24h","Plasma","Saline_24h_Plasma","Keep",0
"74_RNA-m74_ROS_24H_PLASMA_GTGGCC_S53_L004","Mar_10_2021","M75","RedOakSmolder","24h","Plasma","RedOakSmolder_24h_Plasma","Keep",0
"109_RNA-m109_ROF_24H_PLASMA_CTATAC_S43_L004","Mar_10_2021","M109","RedOakFlame","24h","Plasma","RedOakFlame_24h_Plasma","Keep",0
"82_RNA-m82_PS_24H_PLASMA_CAGGCG_S58_L004","Mar_10_2021","M82","PeatSmolder","24h","Plasma","PeatSmolder_24h_Plasma","Keep",0
"75_RNA-m75_ROS_24H_PLASMA_GTTTCG_S54_L004","Mar_10_2021","M75","RedOakSmolder","24h","Plasma","RedOakSmolder_24h_Plasma","Keep",0
"112_RNA-m112_ROF_24H_PLASMA_TAATCG_S46_L004","Mar_10_2021","M112","RedOakFlame","24h","Plasma","RedOakFlame_24h_Plasma","Keep",0
"111_RNA-m111_ROF_24H_PLASMA_GACGAC_S45_L004","Mar_10_2021","M111","RedOakFlame","24h","Plasma","RedOakFlame_24h_Plasma","Keep",0
"118_RNA-m118_PF_24H_PLASMA_TCGGCA_S52_L004","Mar_10_2021","M118","PeatFlame","24h","Plasma","PeatFlame_24h_Plasma","Keep",0
"76_RNA-m76_ROS_24H_PLASMA_CGTACG_S55_L004","Mar_10_2021","M76","RedOakSmolder","24h","Plasma","RedOakSmolder_24h_Plasma","Keep",0
"80_RNA-m80_PS_24H_PLASMA_GAGTGG_S56_L004","Mar_10_2021","M80","PeatSmolder","24h","Plasma","PeatSmolder_24h_Plasma","Keep",0
"107_RNA-m107_ROF_24H_PLASMA_CGGAAT_S41_L004","Mar_10_2021","M107","RedOakFlame","24h","Plasma","RedOakFlame_24h_Plasma","Keep",0
"104_RNA-m104_Sal_24H_PLASMA_CATGGC_S38_L004","Mar_10_2021","M104","Saline","24h","Plasma","Saline_24h_Plasma","Keep",0
"114_RNA-m114_PF_24H_PLASMA_TATAAT_S48_L004","Mar_10_2021","M114","PeatFlame","24h","Plasma","PeatFlame_24h_Plasma","Keep",0
"116_RNA-m116_PF_24H_PLASMA_TCCCGA_S50_L004","Mar_10_2021","M116","PeatFlame","24h","Plasma","PeatFlame_24h_Plasma","Keep",0
"108_RNA-m108_ROF_24H_PLASMA_CTAGCT_S42_L004","Mar_10_2021","M108","RedOakFlame","24h","Plasma","RedOakFlame_24h_Plasma","Keep",0
"117_RNA-m117_PF_24H_PLASMA_TCGAAG_S51_L004","Mar_10_2021","M117","PeatFlame","24h","Plasma","PeatFlame_24h_Plasma","Keep",0
"PEAT_SM1-24hr_mouse_plasma_CAAAAG_S4_L002","Dec_21_2020","M77","PeatSmolder","24h","Plasma","PeatSmolder_24h_Plasma","Keep",1
"PEAT_SM2-24hr_mouse_plasma_CAACTA_S5_L002","Dec_21_2020","M78","PeatSmolder","24h","Plasma","PeatSmolder_24h_Plasma","Keep",1
"SALINE_SM2-24hr_mouse_plasma_CACTCA_S11_L002","Dec_21_2020","M102","Saline","24h","Plasma","Saline_24h_Plasma","Keep",1
"PEAT_SM3-24hr_mouse_plasma_CACCGG_S6_L002","Dec_21_2020","M79","PeatSmolder","24h","Plasma","PeatSmolder_24h_Plasma","Keep",1
"SALINE_SM3-24hr_mouse_plasma_CAGGCG_S12_L002","Dec_21_2020","M103","Saline","24h","Plasma","Saline_24h_Plasma","Keep",1
"RED_OAK_SM2-24hr_mouse_plasma_ATGAGC_S8_L002","Dec_21_2020","M72","RedOakSmolder","24h","Plasma","RedOakSmolder_24h_Plasma","Keep",1
"SALINE_SM1-24hr_mouse_plasma_CACGAT_S10_L002","Dec_21_2020","M101","Saline","24h","Plasma","Saline_24h_Plasma","Keep",1
"RED_OAK_SM1-24hr_mouse_plasma_ACTGAT_S7_L002","Dec_21_2020","M71","RedOakSmolder","24h","Plasma","RedOakSmolder_24h_Plasma","Keep",1
"RED_OAK_SM3-24hr_mouse_plasma_ATTCCT_S9_L002","Dec_21_2020","M73","RedOakSmolder","24h","Plasma","RedOakSmolder_24h_Plasma","Keep",1
